id,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,type,feature9.1,feature10,value
31,127.0,54.0,24.0,3.33,3.8,11.6,0.9932,0.29,6.8,old,6.7,0.46,7
34,30.0,9.0,29.0,3.41,6.2,9.5,0.9968,0.38,1.7,new,7.4,0.53,6
36,168.0,33.0,16.0,2.9,5.6,8.7,0.99825,0.3,13.7,old,7.4,0.44,7
37,200.0,34.0,38.0,3.14,3.6000000000000005,10.0,0.9937,0.34,3.4,old,6.5,0.76,5
38,22.0,10.0,56.00000000000001,3.22,8.2,9.6,0.9976,0.04,2.0,new,8.4,0.44,5
39,101.0,19.0,13.5,3.31,4.2,9.3,0.9946,0.3,4.6,old,5.7,0.42,6
40,104.0,45.0,11.0,3.2,4.4,9.9,0.99454,0.27,8.6,old,6.8,0.37,6
41,65.0,17.0,56.00000000000001,3.33,7.8,10.5,0.99294,0.15,1.8,new,6.4,0.6,6
42,93.0,33.0,10.0,3.06,3.1,11.2,0.99094,0.33,1.0,old,7.6,0.68,6
43,60.0,25.0,29.0,3.31,9.2,10.1,0.9971,0.49,2.7,new,7.6,0.61,6
45,120.0,16.0,28.000000000000004,3.16,3.7000000000000006,10.6,0.9933,0.35,1.9,old,6.0,0.69,5
46,104.0,20.0,55.00000000000001,3.22,2.7,13.1,0.9924,0.26,9.6,old,6.4,0.73,6
47,23.0,10.0,64.5,2.92,9.5,11.1,1.00315,0.49,4.2,new,15.6,0.74,5
48,143.0,32.0,34.5,3.24,6.800000000000002,10.1,0.99138,0.34,1.0,old,4.9,0.4,5
49,109.0,26.0,53.0,3.26,3.4000000000000004,12.7,0.9906,0.35,3.8,old,6.8,0.57,8
51,147.0,38.0,20.0,3.35,3.1,11.0,0.9931,0.36,1.5,old,6.9,0.56,6
52,182.0,61.5,29.0,3.02,3.7000000000000006,8.8,0.99808,0.48,12.8,old,7.4,0.34,5
53,24.0,15.0,56.00000000000001,3.44,6.5,10.55,0.99514,0.17,1.7,new,7.0,0.68,7
54,72.0,35.0,41.0,3.44,8.3,9.4,0.997,0.3,2.1,new,7.2,0.52,5
55,134.0,23.0,78.5,3.53,3.6000000000000005,13.8,0.98981,0.0,3.4,old,4.7,0.92,6
56,61.0,27.0,54.50000000000001,3.36,8.7,10.7,0.9965,0.06,4.0,new,7.9,0.67,6
57,39.0,15.0,64.5,3.37,9.7,9.2,0.99675,0.0,1.9,new,7.2,0.58,6
58,42.0,10.0,61.0,3.19,6.7,9.5,0.9969,0.14,2.4,new,8.8,0.59,5
59,173.0,55.0,27.0,3.11,5.3,9.8,0.99699,0.26,11.8,old,7.4,0.6,5
62,119.0,27.0,26.0,3.4,3.0,10.7,0.9947,0.27,10.6,old,5.6,0.34,7
64,224.0,41.0,16.0,3.38,5.4,10.1,0.9966,0.26,7.1,old,7.2,0.55,5
65,181.0,34.0,91.0,3.11,5.6,10.0,0.9968,0.42,1.6,old,10.0,0.46,4
68,143.0,68.0,22.0,2.99,5.6,9.2,0.9983,0.28,12.0,old,7.6,0.3,6
70,47.0,6.0,41.0,3.01,8.9,10.8,1.0014,0.63,3.8,new,14.0,0.81,6
71,31.0,17.0,53.0,3.33,7.6,10.0,0.9964,0.04,1.7,new,7.8,0.56,6
73,178.0,36.0,29.0,3.17,4.9,10.6,0.9931,0.48,2.3,old,7.7,0.64,6
74,89.0,38.0,54.0,3.3,5.0,10.55,0.99236,0.06,1.8,new,6.0,0.5,6
75,192.0,35.0,30.0,3.1,4.6,9.0,0.9955,0.38,7.8,old,6.4,0.37,5
76,85.0,24.0,36.0,3.41,2.1,12.4,0.98965,0.29,1.6,old,6.6,0.61,9
77,16.0,7.0,40.0,3.21,7.1,12.5,0.99462,0.5,1.8,new,9.1,0.69,8
78,27.0,13.0,40.0,3.32,5.2,13.4,0.995,0.51,2.6,new,8.9,0.9,7
80,180.0,41.0,29.0,3.16,4.2,9.1,0.99644,0.18,8.2,old,7.2,0.49,5
81,10.0,5.0,74.0,3.28,6.7,11.8,0.99418,0.09,2.0,new,8.2,0.57,6
82,144.0,55.0,31.0,3.16,3.3000000000000003,10.0,0.99208,0.07,1.5,old,6.6,0.42,5
83,55.0,27.0,64.0,3.31,7.200000000000001,11.0,0.9962,0.0,1.9,new,7.8,0.63,5
84,156.0,45.0,32.0,3.26,3.7000000000000006,10.7,0.99184,0.13,1.3,old,5.5,0.38,5
86,116.0,17.0,49.0,3.42,3.9,13.7,0.9907,0.13,4.5,old,5.6,0.9,7
87,110.0,29.0,18.0,3.2,4.1,9.2,0.99652,0.28,7.1,old,7.6,0.42,6
88,49.0,15.0,40.0,3.03,12.5,9.7,0.998,0.48,2.1,new,10.7,0.81,6
89,101.0,17.0,17.0,3.14,5.0,9.5,0.994,0.32,1.5,old,8.2,0.58,5
92,49.0,16.0,38.0,3.19,9.6,10.0,0.9982,0.31,2.5,new,9.6,0.7,7
93,145.0,21.0,31.0,3.04,4.0,9.4,0.9966,0.29,10.5,old,7.6,0.35,5
94,9.0,6.0,33.0,3.1,8.1,10.4,0.99628,0.46,1.9,new,10.2,0.48,6
96,124.0,29.0,39.0,3.07,3.7000000000000006,10.9,0.99414,0.3,9.9,old,7.1,0.42,6
98,151.0,29.0,22.0,3.23,5.9,12.1,0.99177,0.28,3.7,old,6.5,0.41,7
99,91.0,16.0,23.0,3.28,3.3000000000000003,11.8,0.9906,0.3,1.8,old,6.3,0.4,6
100,157.0,28.0,18.0,3.33,4.6,9.4,0.9946,0.65,1.4,old,7.3,0.62,6
101,188.0,64.0,18.0,3.13,5.8,10.6,0.9952,0.24,9.8,old,6.8,0.51,6
102,115.0,42.0,36.0,3.15,4.4,9.0,0.9978,0.58,15.0,old,6.1,0.51,5
103,107.0,32.0,28.000000000000004,3.25,3.2,12.2,0.9907,0.44,1.8,old,7.1,0.48,7
104,137.0,42.0,27.0,3.24,3.4000000000000004,10.9,0.99218,0.31,3.9,old,6.1,0.46,6
105,113.0,26.0,20.0,2.99,4.6,9.9,0.99408,0.15,6.6,old,6.4,0.58,6
106,192.0,35.0,29.0,3.16,4.9,9.5,0.99551,0.52,7.9,old,6.5,0.51,6
107,117.0,17.0,45.0,3.32,4.4,10.4,0.9962,0.32,7.1,old,7.4,0.41,4
108,14.0,5.0,35.0,3.26,6.2,10.6,0.9971,0.55,2.1,new,9.9,0.79,5
109,158.0,35.0,25.0,3.02,3.5000000000000004,11.3,0.99082,0.33,1.2,old,6.9,0.58,6
111,161.0,47.0,27.0,3.22,4.8,11.0,0.99281,0.32,6.2,old,6.1,0.6,6
112,68.0,25.0,37.0,3.15,8.3,10.4,0.9995,0.55,2.6,new,12.5,0.82,6
114,101.0,41.0,31.0,3.24,4.0,13.1,0.98968,0.38,4.8,old,6.0,0.56,6
116,114.0,40.0,26.0,3.42,3.1,11.0,0.9908,0.18,1.2,old,5.8,0.4,7
117,94.0,22.0,19.0,3.23,2.2,11.1,0.9912,0.34,1.0,old,6.7,0.57,6
118,144.0,34.0,69.0,3.26,4.4,10.1,0.9948,0.09,7.6,old,6.4,0.38,6
120,165.0,46.0,30.0,3.02,3.9,8.7,0.9982,0.74,13.5,old,7.3,0.4,5
121,97.0,29.0,22.0,3.2,2.4,13.05,0.98823,0.32,1.2,old,5.6,0.46,7
122,115.0,18.0,25.0,3.42,3.7000000000000006,12.6,0.9904,0.26,3.6,old,5.6,0.5,6
123,62.0,38.0,67.0,3.26,6.0,10.2,0.9958,0.3,2.0,new,8.0,0.56,6
125,97.0,26.0,40.0,3.16,3.7000000000000006,12.6,0.99148,0.28,6.5,old,7.3,0.58,7
126,44.0,17.0,32.0,3.28,13.2,11.5,0.99734,0.52,1.8,new,10.9,0.77,6
128,61.0,27.0,54.50000000000001,3.36,8.7,10.7,0.9965,0.06,4.0,new,7.9,0.67,6
129,245.0,64.0,21.0,3.06,3.6000000000000005,9.3,0.9951,0.38,6.8,old,6.2,0.36,6
130,50.0,21.0,45.0,3.37,8.6,9.9,0.9982,0.31,2.6,new,8.6,0.91,6
132,92.0,31.0,25.0,3.01,3.1,12.0,0.9922,0.27,4.7,old,8.5,0.33,6
133,22.0,5.0,59.0,3.37,9.5,10.3,0.9986,0.39,2.3,new,8.9,0.58,5
136,167.0,39.0,25.0,3.14,5.7,9.2,0.99804,0.44,15.8,old,6.2,0.51,5
137,104.0,39.0,17.0,2.91,3.9,11.0,0.99252,0.3,7.3,old,6.0,0.57,6
138,11.0,4.0,56.99999999999999,3.44,4.8,10.8,0.99448,0.1,2.1,new,6.2,0.76,6
140,97.0,10.0,33.0,3.48,4.9,10.7,0.9917,0.16,1.5,old,5.0,0.44,6
143,235.0,46.0,34.0,3.08,6.0,8.8,1.0018200000000002,0.54,17.3,old,9.2,0.61,6
144,104.0,33.0,28.000000000000004,3.19,11.9,10.2,0.9921,0.34,1.6,old,6.0,0.38,6
145,87.0,36.0,41.0,3.27,6.3,10.8,0.9914,0.0,1.6,old,6.1,0.67,6
147,37.0,16.0,49.0,3.37,7.7,10.5,0.9966,0.19,3.0,new,7.4,0.51,5
150,162.0,28.0,39.0,3.17,4.3,9.1,0.9988,0.31,14.35,old,6.8,0.54,5
151,25.0,8.0,61.0,3.69,8.0,10.5,0.99746,0.01,1.9,new,6.6,0.73,5
153,135.0,23.0,30.0,3.16,5.4,9.0,0.9998,0.29,16.85,old,7.8,0.38,6
154,105.0,22.0,28.000000000000004,2.98,2.6,13.1,0.989,0.28,4.3,old,6.2,0.64,8
155,183.0,59.0,26.0,3.2,4.7,9.3,0.99594,0.46,6.9,old,6.6,0.45,5
157,19.0,8.0,70.5,3.34,7.400000000000001,10.5,0.9962,0.05,1.9,new,8.0,0.95,6
158,89.0,35.0,21.0,3.25,3.4000000000000004,11.0,0.9913,0.37,2.5,old,6.7,0.5,7
160,53.0,23.0,46.0,3.43,8.8,9.2,0.9981,0.26,1.9,new,7.8,0.74,6
161,149.0,41.0,16.0,3.49,4.0,10.0,0.9933,0.22,1.4,old,6.4,0.58,6
162,94.0,10.0,46.0,3.35,5.3,10.1,0.99537,0.32,6.2,old,6.1,0.47,5
163,91.0,23.0,18.0,3.27,5.4,10.3,0.9941,0.39,1.9,old,7.5,0.45,6
164,92.0,29.0,19.0,3.22,4.6,11.3,0.99033,0.29,1.2,old,6.0,0.53,6
167,118.0,44.0,19.0,3.34,4.0,9.5,0.9935,0.49,4.9,old,5.8,0.38,7
168,73.0,22.0,20.0,3.24,3.1,11.3,0.99035,0.31,1.0,old,6.2,0.52,6
170,15.0,5.0,44.0,3.21,5.9,10.2,0.998,0.64,2.1,new,11.6,0.67,6
172,212.0,50.0,38.0,3.47,8.0,9.4,0.99803,0.17,8.8,old,6.3,0.66,4
173,167.0,39.0,25.0,3.14,5.7,9.2,0.99804,0.44,15.8,old,6.2,0.51,5
175,95.0,22.0,23.0,3.04,3.5000000000000004,12.0,0.9935,0.49,7.8,old,8.4,0.34,6
177,27.0,11.0,26.0,3.21,8.0,9.4,0.9974,0.42,2.0,new,8.3,0.8,6
179,162.0,35.0,35.0,3.15,3.9,11.9,0.9936,0.4,6.3,old,8.2,0.34,7
180,91.0,17.0,60.0,3.29,8.3,9.8,0.99616,0.26,2.1,new,7.4,0.56,6
183,241.0,59.0,42.5,3.23,3.8,9.0,0.9979,0.4,13.1,old,6.5,0.57,5
184,85.0,28.0,25.0,2.87,4.0,11.2,0.98984,0.25,1.3,old,6.6,0.48,6
185,246.0,65.0,39.0,3.15,4.6,9.0,0.9976,0.17,12.0,old,6.0,0.38,6
186,212.0,73.0,26.0,2.93,3.9,9.5,0.9969,0.33,10.3,old,7.9,0.49,6
187,113.0,20.0,36.0,3.2,5.3,11.0,0.99544,0.31,13.55,old,6.5,0.56,6
188,133.0,49.0,19.0,3.16,3.8,11.3,0.99107,0.33,4.2,old,5.8,0.42,7
190,92.0,9.0,68.5,3.28,8.8,9.4,0.9963,0.35,2.0,new,7.1,0.62,5
191,190.0,24.0,15.0,3.5,5.2,10.9,0.995,0.48,2.7,old,8.2,0.45,7
193,215.0,68.0,30.0,3.19,5.8,9.4,0.99656,0.49,11.2,old,6.2,0.6,6
194,176.0,41.0,25.0,3.19,4.9,9.2,0.995,0.32,5.5,old,6.4,0.68,6
195,235.0,59.0,27.0,2.98,5.7,8.6,1.0024,0.49,23.5,old,6.9,0.47,5
196,240.0,59.0,37.0,3.13,4.8,8.9,0.99902,0.16,14.9,old,7.3,0.45,5
198,188.0,82.0,22.0,3.3,4.6,10.3,0.9955,0.29,8.9,old,6.8,0.44,6
199,205.0,64.0,24.0,3.15,5.0,9.5,0.997,0.35,13.1,old,6.7,0.5,5
200,103.0,27.0,20.0,3.37,4.0,10.7,0.994,0.38,4.7,old,6.8,0.58,6
201,104.0,43.0,23.0,3.02,2.7,11.3,0.99054,0.45,2.1,old,6.5,0.52,6
202,111.0,22.0,30.0,3.12,5.4,9.2,0.9956,0.25,4.3,old,7.6,0.49,5
204,47.0,16.0,31.0,3.12,9.4,10.6,0.9986,0.49,2.7,new,11.1,1.02,7
205,28.0,9.0,44.0,3.24,6.3,10.8,0.9981,0.47,2.5,new,9.8,0.65,6
208,11.0,6.0,66.0,3.35,5.2,12.7,0.99318,0.0,2.4,new,7.1,0.66,7
209,183.0,52.0,26.0,3.2,4.6,9.4,0.99584,0.44,8.2,old,6.8,0.51,5
211,148.0,36.0,31.0,3.21,3.7000000000000006,10.4,0.9928,0.26,4.8,old,6.2,0.41,6
213,189.5,73.5,26.0,3.27,20.1,9.4,0.9942,0.27,4.1,old,5.7,0.38,6
214,125.0,30.0,23.0,3.23,3.0,12.5,0.9907,0.46,1.5,old,8.0,0.47,6
215,81.0,22.0,14.000000000000002,3.03,4.1,11.4,0.99043,0.38,1.0,old,6.9,0.54,6
216,186.0,27.0,55.00000000000001,3.17,4.9,9.3,0.9974,0.45,12.0,old,6.2,0.5,6
217,12.0,6.0,34.0,3.52,7.9,10.7,0.99605,0.44,1.7,new,8.5,0.63,5
219,138.0,15.0,43.0,3.18,2.5,12.6,0.99126,0.3,6.6,old,7.1,0.46,6
220,14.0,5.0,118.5,3.63,9.7,10.7,0.9966,0.0,4.25,new,7.4,0.54,3
222,46.0,29.0,40.0,3.2,6.800000000000002,12.2,0.9943,0.43,2.4,new,9.0,0.6,6
223,69.0,26.0,27.0,3.1,7.1,11.5,0.98994,0.26,3.5,old,5.8,0.38,6
224,31.0,10.0,87.0,3.25,8.4,9.8,0.99656,0.0,2.2,new,8.1,0.5,5
226,118.0,28.0,29.0,2.96,3.6000000000000005,10.9,0.9953,0.33,9.1,old,8.2,0.4,7
228,61.0,29.0,48.0,3.34,7.6,10.4,0.9953,0.25,2.0,new,6.8,0.6,5
231,214.0,42.0,38.0,3.31,6.1,9.4,0.9976,0.36,9.2,old,6.6,0.56,5
232,40.0,10.0,20.0,3.14,4.9,9.8,0.9944,0.33,3.5,old,9.0,0.36,6
233,23.0,9.0,36.0,3.23,7.400000000000001,12.0,0.99638,0.47,2.2,new,10.5,0.76,6
235,97.0,52.0,54.0,3.41,3.8,12.2,0.99022,0.09,5.1,old,4.4,0.4,7
238,39.0,12.0,68.0,3.5,7.8,9.9,0.9977,0.16,1.8,new,7.4,0.7,6
239,237.0,28.0,34.0,3.18,4.7,8.7,0.9981,0.3,11.1,old,6.2,0.49,5
240,199.0,49.0,33.0,2.98,12.6,9.4,0.99711,0.38,8.7,old,7.5,0.57,5
241,122.0,25.0,27.0,2.97,3.4000000000000004,11.9,0.99088,0.27,1.7,old,7.9,0.51,6
242,198.0,20.0,30.0,3.06,2.4,11.9,0.99222,0.36,4.6,old,7.8,0.66,6
243,89.0,33.0,53.0,3.26,7.8,9.6,0.99678,0.22,2.2,new,8.1,0.46,6
244,13.0,5.0,73.0,3.2,7.400000000000001,9.5,0.9968,0.21,1.7,new,8.2,0.52,5
245,140.0,29.0,25.0,3.2,6.4,10.1,0.99776,0.27,17.4,old,6.5,0.49,6
246,170.0,54.0,23.0,3.0,3.3000000000000003,8.8,0.998,0.64,12.9,old,7.6,0.53,5
248,14.0,5.0,82.0,3.36,9.5,9.6,0.99854,0.0,4.1,new,8.1,0.53,5
249,187.0,24.0,18.0,3.25,4.0,9.5,0.9956,0.36,1.8,old,8.6,0.55,6
250,151.0,50.0,23.0,3.11,4.0,11.4,0.9927,0.4,7.5,old,6.9,0.27,6
251,81.0,29.0,36.0,2.96,3.4000000000000004,12.5,0.99151,0.28,8.3,old,6.7,0.39,6
252,104.0,10.0,51.0,3.05,4.0,10.8,0.992,0.24,1.2,old,7.6,0.29,6
253,115.0,35.0,28.000000000000004,2.93,3.0,12.3,0.99192,0.3,8.4,old,8.0,0.42,6
255,160.0,69.0,27.0,3.16,4.7,9.6,0.99705,0.3,13.0,old,6.8,0.5,6
259,21.0,15.0,69.0,3.38,9.1,11.3,0.99572,0.07,2.5,new,7.0,0.6,6
261,108.0,24.0,24.0,3.27,17.2,9.9,0.9932,0.74,1.4,old,6.3,0.39,6
263,132.0,61.0,23.0,2.86,4.3,9.1,0.99542,0.5,10.4,old,6.3,0.46,6
264,112.0,16.0,54.0,3.27,7.6,9.4,0.9976,0.24,3.4,new,8.3,0.61,5
265,43.0,19.0,42.0,3.02,7.3,9.5,0.9978,0.49,4.6,new,12.4,0.61,5
266,150.0,39.0,33.0,3.33,1.6,14.0,0.98713,0.31,1.2,old,4.9,0.59,8
267,20.0,3.0,39.0,3.34,6.6000000000000005,9.4,0.9954,0.08,1.7,new,6.3,0.58,5
268,10.0,4.0,25.0,3.27,4.1,12.5,0.99386,0.39,2.0,new,8.4,0.71,7
269,122.0,37.0,24.0,3.02,7.9,8.8,0.99662,0.32,10.3,old,6.7,0.45,5
270,65.0,12.0,57.49999999999999,3.29,7.7,9.2,0.9967,0.22,2.1,new,8.1,0.51,5
271,201.0,32.0,28.5,3.0,6.3,9.2,0.998,0.32,14.6,old,7.6,0.45,5
275,169.0,24.0,36.0,3.15,5.0,9.5,0.9927,0.33,1.1,old,6.1,0.78,6
277,138.0,17.0,68.0,3.22,4.7,10.8,0.995,0.3,2.1,old,8.2,0.71,4
281,114.0,29.0,34.0,3.23,4.1,12.6,0.99014,0.43,1.6,old,6.7,0.44,6
282,28.0,8.0,80.0,3.33,8.3,10.4,0.99836,0.12,2.4,new,9.0,0.65,6
283,41.0,10.0,38.0,3.17,8.8,9.8,1.001,0.66,2.6,new,12.6,0.68,6
284,168.0,69.0,33.5,3.47,3.6000000000000005,10.5,0.99212,0.14,1.3,old,4.7,0.46,5
285,18.0,6.0,65.0,3.57,5.0,11.95,0.99348,0.06,1.6,new,6.2,0.54,5
286,173.0,26.0,36.0,3.38,5.3,8.8,0.99414,0.32,1.1,old,6.0,0.54,5
287,171.0,61.0,26.0,2.94,3.7000000000000006,8.8,0.9986,0.46,15.55,old,7.0,0.35,6
288,95.0,30.0,20.0,3.27,4.1,11.1,0.99078,0.25,2.0,old,6.0,0.56,6
289,114.0,19.0,26.0,3.36,4.0,10.5,0.99295,0.27,1.5,old,6.6,0.62,6
290,89.0,29.0,35.0,3.14,6.6000000000000005,12.7,0.98964,0.37,2.5,old,7.5,0.42,6
292,92.0,29.0,26.0,3.15,2.7,12.0,0.99085,0.3,4.6,old,7.5,0.38,7
293,99.0,17.0,50.0,3.63,4.9,13.0,0.9937,0.09,2.3,new,5.6,0.63,5
295,144.0,32.0,32.0,3.2,3.8,10.8,0.99296,0.29,1.5,old,7.3,0.55,5
296,75.0,32.0,66.0,3.15,3.3000000000000003,10.7,0.99551,0.0,13.0,old,6.7,0.5,6
297,121.0,34.0,27.0,3.04,17.3,9.2,0.99334,0.74,1.3,old,7.0,0.46,6
298,143.0,33.0,31.0,3.31,5.0,11.06666667,0.99332,0.29,7.3,old,5.7,0.5,6
300,184.0,66.0,25.0,3.22,4.4,8.9,0.99976,0.34,13.7,old,7.8,0.75,5
302,176.0,58.0,25.0,3.19,4.6,10.4,0.99454,0.54,7.0,old,6.2,0.7,5
304,91.0,28.0,39.0,3.44,5.1,12.1,0.9952,0.23,8.3,new,6.5,0.55,6
305,115.0,37.0,27.0,3.09,5.9,9.8,0.99328,0.29,2.5,old,7.6,0.37,5
307,19.0,13.0,43.0,3.1,6.800000000000002,11.4,0.996,0.5,2.3,new,10.4,0.87,6
308,85.0,16.0,14.000000000000002,3.19,3.5000000000000004,11.8,0.9911,0.4,1.7,old,7.0,0.42,6
309,145.0,47.0,29.0,3.29,5.2,10.0,0.993,0.47,3.0,old,5.4,0.75,6
310,113.0,34.0,31.0,3.16,5.2,8.4,0.99429,0.23,3.3,old,6.2,0.48,5
311,129.0,23.0,50.0,3.36,3.6000000000000005,13.4,0.98949,0.18,2.0,old,5.2,0.77,7
312,156.0,37.0,52.0,3.14,3.4000000000000004,11.8,0.9958,0.49,14.0,old,7.6,0.38,7
313,183.0,61.0,35.0,2.86,8.8,9.0,0.99786,0.46,11.8,old,7.7,0.47,5
314,135.0,18.0,26.0,3.32,3.4000000000000004,10.2,0.99174,0.18,1.4,old,5.6,0.35,6
316,147.0,43.0,23.0,3.29,2.6,12.5,0.9904,0.32,1.6,old,6.8,0.54,6
317,213.0,86.0,35.0,3.16,5.1,9.9,0.9962,0.28,12.4,old,6.5,0.51,6
318,27.0,12.0,30.0,3.11,6.7,10.1,0.9981,0.6,2.0,new,11.5,0.97,6
319,66.0,27.0,47.0,3.17,17.1,10.8,0.9982,0.43,2.1,new,10.8,0.76,6
321,86.0,20.0,21.0,3.19,2.0,13.4,0.99146,0.36,8.55,old,6.7,0.22,7
322,144.0,47.0,41.0,3.17,15.8,9.4,0.99471,0.24,4.9,old,6.6,0.49,5
324,86.0,40.0,20.0,3.5,3.5000000000000004,11.7,0.98993,0.34,1.0,old,5.8,0.42,5
325,112.0,7.0,38.0,3.0,2.9,12.6,0.9906,0.28,4.2,old,7.6,0.41,6
326,65.0,29.0,63.0,3.28,9.7,9.6,0.9988,0.21,2.7,new,9.2,0.58,5
327,121.0,35.0,12.0,3.32,5.6,11.4,0.9908,0.21,1.3,old,5.8,0.33,6
328,79.0,29.0,72.5,3.29,7.3,9.2,0.9977,0.2,7.8,new,6.6,0.54,5
329,43.0,17.0,83.0,3.33,9.5,10.4,0.99822,0.0,2.8,new,8.6,0.6,6
331,49.0,25.0,45.0,3.1,7.3,10.3,0.9997,0.55,2.0,new,12.0,0.76,6
334,86.0,35.0,33.0,3.11,4.1,13.3,0.98916,0.4,2.65,old,6.6,0.39,7
335,150.0,47.0,17.0,3.29,5.3,9.6,0.9948,0.32,1.6,old,7.9,0.76,6
336,111.0,32.0,27.0,3.36,5.3,10.4,0.99474,0.16,9.0,old,5.7,0.37,6
338,107.0,26.0,24.0,3.21,4.8,12.4,0.9918,0.5,1.2,old,9.0,0.34,6
340,67.0,14.0,39.0,3.34,8.2,9.2,0.9972,0.48,2.0,new,7.4,0.55,5
342,138.0,70.0,21.0,3.33,4.8,11.4,0.9917,0.37,2.5,old,6.5,0.75,7
344,126.0,9.0,31.5,2.94,4.1,8.8,0.99494,0.2,6.6,old,6.5,0.51,5
345,36.0,18.0,42.0,3.39,7.1,10.9,0.99476,0.19,2.3,new,7.0,0.56,5
346,187.0,38.0,34.5,3.31,5.6,10.6,0.99486,0.27,10.1,old,6.2,0.56,5
348,200.0,11.0,33.0,3.19,4.7,9.4,0.9954,0.32,1.5,old,8.9,0.46,5
349,142.0,46.0,21.0,3.23,5.1,10.1,0.9928,0.28,1.5,old,6.3,0.42,6
350,151.0,20.0,29.0,3.08,5.5,9.3,0.9968,0.31,8.95,old,7.5,0.54,5
352,36.0,15.0,54.0,3.61,7.6,9.8,0.9973,0.13,2.0,new,6.7,0.64,5
354,54.0,32.0,68.0,3.51,10.3,11.3,0.99586,0.01,3.7,new,6.3,0.66,6
355,109.0,9.0,27.0,3.08,4.1,9.0,0.9929,0.25,1.8,old,6.1,0.54,5
356,111.0,19.0,24.0,3.1,3.3000000000000003,11.9,0.99045,0.46,2.2,old,6.7,0.62,6
357,118.0,15.0,61.0,3.14,3.0,9.6,0.9954,0.45,5.4,old,8.2,0.34,5
359,174.0,13.0,33.5,3.27,4.0,10.0,0.992,0.34,1.0,old,5.7,0.66,5
360,92.0,44.0,36.0,3.2,3.6000000000000005,13.3,0.98936,0.32,4.0,old,6.2,0.5,7
362,17.0,9.0,72.5,3.35,11.7,10.8,0.99655,0.09,5.5,new,6.6,0.49,6
363,171.0,40.0,25.0,3.22,4.7,9.3,0.9982,0.29,15.2,old,7.0,0.45,5
364,178.0,56.0,17.0,3.15,11.9,10.2,0.99578,0.24,9.6,old,7.15,0.44,6
365,162.0,71.0,14.000000000000002,3.07,4.5,11.0,0.9914,0.33,1.2,old,8.0,0.47,6
367,120.0,24.0,25.0,3.33,4.0,10.8,0.99411,0.27,11.5,old,5.7,0.31,6
368,101.0,25.0,41.0,3.13,9.6,10.0,1.00024,0.58,2.8,new,11.6,0.53,5
369,150.0,66.0,26.0,3.21,5.3,10.4,0.9924,0.24,1.3,old,6.0,0.62,6
370,164.0,10.0,39.0,3.35,4.9,9.7,0.99516,0.35,1.6,old,6.5,0.51,5
371,166.0,48.0,30.0,3.3,7.7,8.7,0.9944,0.2,1.1,old,5.3,0.54,4
372,80.0,20.0,21.0,3.39,2.1,12.0,0.99076,0.37,3.2,old,6.15,0.47,5
373,204.0,61.0,28.000000000000004,3.1,4.5,10.1,0.99543,0.32,7.6,old,8.0,0.55,6
374,224.0,68.0,26.0,3.18,4.4,9.5,0.9972,0.74,13.3,old,6.5,0.54,6
375,138.0,21.0,21.0,3.05,5.7,10.9,0.99176,0.39,2.0,old,7.9,0.52,5
